,BDI_01,BDI_02,BDI_03,BDI_04,BDI_05,BDI_06,BDI_07,BDI_08,BDI_09,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,GDS_01,GDS_02,GDS_03,GDS_04,GDS_05,GDS_06,GDS_07,GDS_08,GDS_09,GDS_10,GDS_11,GDS_12,GDS_13,GDS_14,GDS_15,HADS_02,HADS_04,HADS_06,HADS_08,HADS_10,HADS_12,HADS_14,HAMD_01,HAMD_02,HAMD_03,HAMD_04,HAMD_05,HAMD_06,HAMD_07,HAMD_08,HAMD_09,HAMD_12,HAMD_13,HAMD_14,HAMD_16,NPI_D_screen,MDS-UPDRS_1.3
HADS_06,0.56,0.33,0.16,0.21,0.34,0.16,0.32,0.2,0.23,0.36,0.37,0.15,0.15,0.12,0.01,0.21,0.2,0.19,0.23,0.02,0.15,0.37,0.14,0.3,0.28,0.5,0.19,0.56,0.29,0.2,0.09,0.49,0.26,0.51,0.23,0.15,0.38,0.4,1.0,0.25,0.14,0.43,0.36,0.34,0.22,0.18,0.14,0.15,0.12,0.08,-0.03,0.3,0.04,0.04,-0.02,0.07,0.28,0.36
HADS_08,0.26,0.34,0.25,0.42,0.2,0.17,0.23,0.26,0.24,0.18,0.23,0.31,0.44,0.4,0.29,0.4,0.52,0.43,0.3,0.22,0.39,0.17,0.27,0.28,0.24,0.2,0.26,0.24,0.37,0.13,0.28,0.14,0.32,0.37,0.25,0.13,0.17,0.14,0.25,1.0,0.39,0.19,0.21,0.19,0.18,0.07,0.19,0.18,0.2,0.39,0.26,0.2,0.2,0.31,0.22,0.27,0.19,0.3
HADS_10,0.19,0.32,0.28,0.55,0.1,0.14,0.38,0.23,0.31,0.27,0.18,0.61,0.31,0.59,0.15,0.32,0.33,0.49,0.37,0.11,0.57,0.16,0.43,0.27,0.2,0.1,0.07,0.06,0.21,0.11,0.05,0.02,0.4,0.11,0.26,0.04,0.22,0.16,0.14,0.39,1.0,0.11,0.13,0.26,0.18,0.24,0.08,0.09,0.08,0.23,0.1,0.22,0.21,0.17,0.17,0.41,0.18,0.27
HADS_12,0.27,0.34,0.13,0.36,0.28,0.15,0.27,0.23,0.16,0.11,0.18,0.19,0.2,0.05,0.24,0.11,0.11,0.09,0.05,0.01,0.16,0.29,0.2,0.21,0.36,0.32,0.2,0.33,0.2,0.31,0.04,0.3,0.12,0.29,0.07,0.04,0.47,0.46,0.43,0.19,0.11,1.0,0.48,0.17,0.16,0.13,0.12,0.1,0.11,0.12,-0.03,0.22,0.01,-0.06,-0.01,0.01,0.14,0.21
HADS_14,0.22,0.2,0.1,0.28,0.24,0.16,0.12,0.18,0.22,0.15,0.12,0.2,0.17,0.01,0.1,0.23,0.24,0.15,0.1,0.02,0.17,0.22,0.25,0.2,0.49,0.26,0.04,0.27,0.25,0.35,0.11,0.25,0.09,0.23,0.08,0.08,0.43,0.45,0.36,0.21,0.13,0.48,1.0,0.17,0.1,0.14,0.19,0.2,0.16,0.22,0.11,0.18,-0.04,-0.05,-0.01,0.01,0.05,0.23
HAMD_01,0.37,0.41,0.29,0.23,0.16,0.08,0.2,0.29,0.3,0.24,0.14,0.22,0.15,0.04,0.15,0.14,0.14,0.14,0.01,0.02,0.25,0.27,0.21,0.43,0.17,0.32,0.16,0.33,0.37,0.08,0.02,0.13,0.37,0.27,0.4,0.19,0.08,0.15,0.34,0.19,0.26,0.17,0.17,1.0,0.38,0.36,0.17,0.19,0.15,0.35,0.31,0.34,0.22,0.25,0.22,0.15,0.61,0.54
HAMD_02,0.29,0.22,0.28,0.24,0.6,0.38,0.22,0.38,0.32,0.27,0.18,0.21,0.3,-0.0,0.28,0.21,0.16,0.12,0.05,0.0,0.24,0.11,0.16,0.28,0.09,0.25,0.28,0.23,0.39,0.07,0.15,0.02,0.27,0.24,0.17,0.12,0.13,0.1,0.22,0.18,0.18,0.16,0.1,0.38,1.0,0.39,0.17,0.19,0.18,0.26,0.17,0.43,0.21,0.16,0.2,0.16,0.31,0.31
HAMD_03,0.26,0.22,0.25,0.26,0.15,0.2,0.21,0.19,0.49,0.21,0.11,0.2,0.2,-0.04,0.07,0.2,0.1,0.13,0.04,-0.05,0.19,0.14,0.24,0.19,0.16,0.18,0.18,0.14,0.19,0.11,0.02,0.13,0.15,0.08,0.23,0.08,0.15,0.11,0.18,0.07,0.24,0.13,0.14,0.36,0.39,1.0,0.17,0.19,0.11,0.22,0.18,0.33,0.08,0.07,0.1,0.2,0.28,0.25
HAMD_04,0.12,0.16,0.12,0.13,0.09,0.03,0.12,0.11,0.2,0.02,0.09,0.04,0.18,0.04,0.15,0.55,0.41,0.13,0.07,0.07,0.15,0.07,0.1,0.12,0.15,0.13,0.11,0.12,0.19,0.14,0.1,0.09,0.11,0.18,0.15,0.04,0.11,0.06,0.14,0.19,0.08,0.12,0.19,0.17,0.17,0.17,1.0,0.92,0.92,0.23,0.13,0.22,0.13,0.12,0.09,0.09,0.14,0.17
HAMD_05,0.13,0.14,0.12,0.13,0.12,0.04,0.11,0.13,0.22,0.04,0.11,0.03,0.15,0.01,0.12,0.52,0.39,0.12,0.05,0.04,0.13,0.1,0.1,0.16,0.19,0.14,0.12,0.15,0.2,0.14,0.1,0.08,0.13,0.18,0.14,0.02,0.11,0.07,0.15,0.18,0.09,0.1,0.2,0.19,0.19,0.19,0.92,1.0,0.82,0.22,0.11,0.24,0.14,0.1,0.08,0.09,0.15,0.17
HAMD_06,0.07,0.15,0.1,0.11,0.09,0.03,0.09,0.15,0.18,0.0,0.1,0.04,0.19,0.08,0.19,0.51,0.42,0.14,0.09,0.12,0.14,0.06,0.11,0.1,0.11,0.12,0.12,0.09,0.16,0.16,0.13,0.1,0.12,0.18,0.14,0.07,0.08,0.05,0.12,0.2,0.08,0.11,0.16,0.15,0.18,0.11,0.92,0.82,1.0,0.25,0.14,0.2,0.15,0.15,0.08,0.08,0.11,0.17
HAMD_07,0.1,0.18,0.09,0.3,0.1,0.16,0.05,0.18,0.14,0.0,0.1,0.25,0.26,0.06,0.3,0.32,0.49,0.28,0.12,0.17,0.35,0.08,0.37,0.16,0.23,0.09,0.05,0.1,0.23,0.15,0.18,-0.03,0.1,0.26,0.14,-0.01,0.14,0.04,0.08,0.39,0.23,0.12,0.22,0.35,0.26,0.22,0.23,0.22,0.25,1.0,0.47,0.29,0.27,0.45,0.28,0.27,0.37,0.3
HAMD_08,0.04,0.08,0.05,0.07,-0.06,0.08,0.01,0.16,0.1,-0.07,0.02,0.01,0.13,0.03,0.15,0.14,0.16,0.09,-0.04,0.15,0.1,-0.03,0.09,-0.0,0.03,-0.01,0.02,-0.04,0.14,-0.06,0.23,-0.06,0.04,0.03,0.05,0.02,-0.0,0.06,-0.03,0.26,0.1,-0.03,0.11,0.31,0.17,0.18,0.13,0.11,0.14,0.47,1.0,0.25,0.24,0.35,0.31,0.18,0.36,0.04
HAMD_09,0.2,0.26,0.11,0.26,0.17,0.21,0.27,0.22,0.19,0.19,0.47,0.19,0.22,-0.01,0.29,0.2,0.24,0.17,0.02,-0.03,0.18,0.17,0.17,0.16,0.25,0.25,0.15,0.21,0.3,0.09,0.08,0.05,0.17,0.27,0.13,0.06,0.12,0.18,0.3,0.2,0.22,0.22,0.18,0.34,0.43,0.33,0.22,0.24,0.2,0.29,0.25,1.0,0.14,0.12,0.12,0.16,0.3,0.25
HAMD_12,0.09,0.06,0.03,0.17,0.04,-0.0,0.04,0.05,0.11,0.04,-0.0,0.12,0.12,0.05,0.04,0.14,0.21,0.51,0.16,0.36,0.25,0.03,0.1,0.1,0.06,0.05,0.1,0.06,0.11,-0.07,0.1,-0.05,0.11,0.2,0.08,-0.03,0.02,-0.04,0.04,0.2,0.21,0.01,-0.04,0.22,0.21,0.08,0.13,0.14,0.15,0.27,0.24,0.14,1.0,0.67,0.38,0.36,0.31,0.2
HAMD_13,0.08,0.04,-0.0,0.11,-0.0,0.01,-0.04,0.06,0.11,0.01,-0.0,0.09,0.1,0.15,0.01,0.18,0.31,0.34,0.21,0.37,0.25,-0.0,0.08,0.06,0.04,0.07,0.08,0.08,0.08,-0.04,0.1,-0.04,0.08,0.23,0.06,-0.05,-0.03,-0.07,0.04,0.31,0.17,-0.06,-0.05,0.25,0.16,0.07,0.12,0.1,0.15,0.45,0.35,0.12,0.67,1.0,0.39,0.38,0.38,0.19
HAMD_14,0.02,0.03,0.03,0.22,0.02,0.06,-0.05,0.02,0.13,0.03,0.08,0.16,0.11,0.08,-0.01,0.17,0.21,0.18,0.06,0.25,0.47,0.03,0.08,0.07,-0.0,0.02,0.03,0.08,0.07,-0.12,0.14,-0.07,0.04,0.1,0.06,-0.04,0.03,-0.06,-0.02,0.22,0.17,-0.01,-0.01,0.22,0.2,0.1,0.09,0.08,0.08,0.28,0.31,0.12,0.38,0.39,1.0,0.13,0.3,0.14
HAMD_16,0.09,0.06,0.01,0.15,-0.04,-0.05,0.1,0.04,0.04,0.02,-0.01,0.15,0.07,0.26,0.04,0.19,0.19,0.5,0.56,0.27,0.26,-0.02,0.2,0.01,-0.01,0.0,0.02,0.02,-0.03,-0.04,-0.07,-0.03,0.13,0.15,-0.07,-0.12,0.09,-0.04,0.07,0.27,0.41,0.01,0.01,0.15,0.16,0.2,0.09,0.09,0.08,0.27,0.18,0.16,0.36,0.38,0.13,1.0,0.17,0.13
NPI_D_screen,0.28,0.22,0.14,0.16,0.14,0.03,0.11,0.22,0.26,0.25,0.19,0.2,0.15,0.1,0.08,0.2,0.21,0.18,0.12,0.16,0.24,0.22,0.17,0.3,0.14,0.35,0.21,0.35,0.23,0.07,0.18,0.11,0.21,0.3,0.27,0.16,0.07,0.1,0.28,0.19,0.18,0.14,0.05,0.61,0.31,0.28,0.14,0.15,0.11,0.37,0.36,0.3,0.31,0.38,0.3,0.17,1.0,0.41
MDS-UPDRS_1.3,0.37,0.39,0.35,0.35,0.26,0.11,0.24,0.27,0.37,0.42,0.23,0.31,0.29,0.04,0.1,0.26,0.25,0.31,0.25,0.01,0.36,0.33,0.5,0.52,0.29,0.48,0.29,0.4,0.48,0.21,0.17,0.3,0.44,0.36,0.49,0.23,0.22,0.14,0.36,0.3,0.27,0.21,0.23,0.54,0.31,0.25,0.17,0.17,0.17,0.3,0.04,0.25,0.2,0.19,0.14,0.13,0.41,1.0
