,BDI_01,BDI_02,BDI_03,BDI_04,BDI_05,BDI_06,BDI_07,BDI_08,BDI_09,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,GDS_01,GDS_02,GDS_03,GDS_04,GDS_05,GDS_06,GDS_07,GDS_08,GDS_09,GDS_10,GDS_11,GDS_12,GDS_13,GDS_14,GDS_15,HADS_02,HADS_04,HADS_06,HADS_08,HADS_10,HADS_12,HADS_14,HAMD_01,HAMD_02,HAMD_03,HAMD_04,HAMD_05,HAMD_06,HAMD_07,HAMD_08,HAMD_09,HAMD_12,HAMD_13,HAMD_14,HAMD_16,NPI_D_screen,MDS-UPDRS_1.3
GDS_10,0.67,0.76,0.79,0.72,0.73,0.69,0.68,0.73,0.78,0.76,0.76,0.81,0.77,0.72,0.71,0.71,0.8,0.71,0.7,0.74,0.75,0.76,0.82,0.87,0.79,0.78,0.82,0.85,0.84,0.79,1.0,0.82,0.86,0.84,0.88,0.89,0.72,0.74,0.69,0.74,0.74,0.74,0.63,0.58,0.58,0.42,0.57,0.62,0.56,0.65,0.58,0.43,0.53,0.64,0.58,0.49,0.73,0.82
GDS_11,0.69,0.77,0.74,0.79,0.79,0.78,0.67,0.7,0.78,0.75,0.7,0.78,0.74,0.74,0.69,0.75,0.74,0.77,0.68,0.72,0.77,0.71,0.77,0.86,0.77,0.79,0.86,0.86,0.81,0.78,0.82,1.0,0.88,0.82,0.86,0.84,0.77,0.78,0.74,0.76,0.72,0.73,0.63,0.61,0.58,0.43,0.59,0.61,0.54,0.59,0.51,0.38,0.53,0.62,0.56,0.47,0.73,0.79
GDS_12,0.72,0.75,0.77,0.82,0.78,0.76,0.71,0.75,0.78,0.76,0.72,0.79,0.74,0.74,0.66,0.74,0.79,0.71,0.66,0.7,0.74,0.76,0.81,0.9,0.84,0.83,0.88,0.9,0.89,0.79,0.86,0.88,1.0,0.85,0.91,0.91,0.79,0.8,0.74,0.79,0.73,0.73,0.6,0.59,0.54,0.41,0.63,0.65,0.6,0.6,0.48,0.36,0.48,0.62,0.52,0.44,0.69,0.81
GDS_13,0.73,0.69,0.74,0.75,0.76,0.72,0.69,0.73,0.7,0.73,0.68,0.74,0.71,0.66,0.65,0.74,0.73,0.71,0.69,0.68,0.73,0.7,0.78,0.88,0.8,0.76,0.77,0.87,0.87,0.72,0.84,0.82,0.85,1.0,0.85,0.83,0.73,0.72,0.74,0.73,0.72,0.71,0.61,0.59,0.63,0.51,0.6,0.62,0.6,0.62,0.55,0.47,0.54,0.66,0.56,0.59,0.7,0.74
GDS_14,0.72,0.82,0.79,0.76,0.79,0.76,0.75,0.76,0.78,0.73,0.73,0.79,0.74,0.78,0.69,0.72,0.77,0.73,0.67,0.74,0.75,0.78,0.79,0.91,0.79,0.81,0.86,0.87,0.87,0.79,0.88,0.86,0.91,0.85,1.0,0.86,0.74,0.77,0.75,0.78,0.76,0.75,0.64,0.66,0.6,0.44,0.62,0.64,0.59,0.65,0.58,0.43,0.53,0.65,0.56,0.48,0.75,0.81
GDS_15,0.67,0.73,0.8,0.82,0.76,0.74,0.7,0.72,0.82,0.78,0.75,0.84,0.79,0.73,0.7,0.76,0.82,0.73,0.68,0.69,0.75,0.69,0.81,0.88,0.82,0.8,0.86,0.87,0.85,0.82,0.89,0.84,0.91,0.83,0.86,1.0,0.8,0.82,0.72,0.77,0.7,0.75,0.61,0.53,0.53,0.39,0.59,0.62,0.57,0.56,0.48,0.38,0.45,0.58,0.52,0.42,0.71,0.79
HADS_02,0.74,0.74,0.8,0.91,0.78,0.79,0.72,0.69,0.81,0.82,0.7,0.88,0.82,0.73,0.73,0.81,0.82,0.78,0.69,0.64,0.83,0.64,0.74,0.77,0.78,0.75,0.78,0.8,0.73,0.76,0.72,0.77,0.79,0.73,0.74,0.8,1.0,0.85,0.74,0.76,0.76,0.84,0.69,0.55,0.57,0.45,0.62,0.64,0.54,0.53,0.48,0.39,0.46,0.56,0.49,0.45,0.68,0.74
HADS_04,0.7,0.76,0.78,0.84,0.79,0.78,0.71,0.72,0.84,0.75,0.7,0.81,0.76,0.73,0.75,0.74,0.79,0.75,0.64,0.72,0.75,0.64,0.76,0.79,0.76,0.78,0.81,0.8,0.76,0.77,0.74,0.78,0.8,0.72,0.77,0.82,0.85,1.0,0.73,0.73,0.73,0.8,0.72,0.58,0.59,0.44,0.63,0.66,0.56,0.58,0.52,0.41,0.49,0.62,0.54,0.43,0.69,0.74
HADS_06,0.82,0.8,0.76,0.73,0.79,0.79,0.71,0.69,0.69,0.8,0.75,0.76,0.73,0.73,0.62,0.72,0.77,0.69,0.66,0.64,0.74,0.57,0.62,0.72,0.7,0.68,0.69,0.77,0.76,0.67,0.69,0.74,0.74,0.74,0.75,0.72,0.74,0.73,1.0,0.74,0.74,0.73,0.6,0.53,0.59,0.49,0.54,0.55,0.47,0.51,0.39,0.43,0.44,0.55,0.42,0.46,0.63,0.63
HADS_08,0.74,0.74,0.8,0.77,0.76,0.78,0.72,0.71,0.74,0.81,0.79,0.79,0.78,0.8,0.64,0.78,0.8,0.71,0.7,0.65,0.78,0.6,0.69,0.76,0.71,0.67,0.73,0.76,0.73,0.7,0.74,0.76,0.79,0.73,0.78,0.77,0.76,0.73,0.74,1.0,0.76,0.73,0.59,0.51,0.5,0.41,0.57,0.56,0.5,0.52,0.49,0.4,0.43,0.53,0.47,0.45,0.65,0.66
HADS_10,0.74,0.74,0.81,0.76,0.75,0.78,0.75,0.78,0.78,0.76,0.73,0.82,0.73,0.76,0.64,0.74,0.76,0.7,0.75,0.68,0.82,0.67,0.74,0.74,0.69,0.68,0.7,0.72,0.69,0.66,0.74,0.72,0.73,0.72,0.76,0.7,0.76,0.73,0.74,0.76,1.0,0.74,0.65,0.56,0.57,0.47,0.57,0.56,0.52,0.6,0.54,0.46,0.51,0.6,0.53,0.52,0.62,0.67
HADS_12,0.71,0.78,0.76,0.78,0.78,0.71,0.76,0.73,0.78,0.74,0.72,0.81,0.78,0.74,0.74,0.72,0.77,0.74,0.63,0.68,0.75,0.69,0.7,0.73,0.68,0.75,0.74,0.77,0.69,0.77,0.74,0.73,0.73,0.71,0.75,0.75,0.84,0.8,0.73,0.73,0.74,1.0,0.68,0.63,0.64,0.45,0.6,0.62,0.52,0.6,0.61,0.43,0.51,0.61,0.55,0.44,0.69,0.74
