,BDI_01,BDI_02,BDI_03,BDI_04,BDI_05,BDI_06,BDI_07,BDI_08,BDI_09,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,GDS_01,GDS_02,GDS_03,GDS_04,GDS_05,GDS_06,GDS_07,GDS_08,GDS_09,GDS_10,GDS_11,GDS_12,GDS_13,GDS_14,GDS_15,HADS_02,HADS_04,HADS_06,HADS_08,HADS_10,HADS_12,HADS_14,HAMD_01,HAMD_02,HAMD_03,HAMD_04,HAMD_05,HAMD_06,HAMD_07,HAMD_08,HAMD_09,HAMD_12,HAMD_13,HAMD_14,HAMD_16,NPI_D_screen,MDS-UPDRS_1.3
BDI_11,0.83,0.88,0.9,0.87,0.88,0.89,0.9,0.9,0.9,0.88,1.0,0.91,0.88,0.91,0.87,0.89,0.9,0.87,0.88,0.9,0.91,0.85,0.83,0.85,0.85,0.82,0.82,0.84,0.85,0.87,0.87,0.84,0.84,0.85,0.86,0.84,0.88,0.88,0.86,0.9,0.88,0.87,0.85,0.84,0.76,0.57,0.85,0.84,0.84,0.84,0.83,0.62,0.83,0.86,0.83,0.75,0.88,0.86
BDI_12,0.8,0.88,0.92,0.93,0.88,0.87,0.88,0.89,0.91,0.92,0.91,1.0,0.93,0.91,0.88,0.93,0.94,0.89,0.86,0.87,0.98,0.86,0.86,0.87,0.85,0.83,0.85,0.85,0.84,0.88,0.88,0.87,0.87,0.85,0.86,0.88,0.93,0.9,0.84,0.89,0.89,0.88,0.87,0.82,0.75,0.55,0.82,0.81,0.8,0.85,0.82,0.57,0.81,0.84,0.83,0.74,0.87,0.88
BDI_13,0.78,0.87,0.91,0.92,0.87,0.87,0.85,0.89,0.9,0.94,0.88,0.93,1.0,0.87,0.9,0.93,0.95,0.87,0.88,0.86,0.93,0.85,0.87,0.86,0.86,0.81,0.81,0.85,0.85,0.88,0.87,0.84,0.84,0.87,0.85,0.86,0.91,0.89,0.83,0.87,0.87,0.9,0.87,0.82,0.77,0.62,0.84,0.83,0.82,0.84,0.83,0.64,0.81,0.84,0.81,0.77,0.84,0.86
BDI_14,0.83,0.89,0.91,0.88,0.86,0.89,0.91,0.92,0.9,0.86,0.91,0.91,0.87,1.0,0.85,0.89,0.88,0.86,0.87,0.91,0.91,0.85,0.85,0.88,0.85,0.82,0.85,0.83,0.85,0.86,0.87,0.85,0.85,0.86,0.89,0.85,0.87,0.88,0.86,0.91,0.9,0.87,0.87,0.86,0.77,0.57,0.86,0.85,0.84,0.87,0.85,0.6,0.84,0.87,0.85,0.77,0.9,0.88
BDI_15,0.73,0.82,0.88,0.86,0.88,0.81,0.81,0.86,0.88,0.87,0.87,0.88,0.9,0.85,1.0,0.88,0.88,0.88,0.88,0.86,0.88,0.84,0.85,0.84,0.85,0.83,0.84,0.86,0.82,0.88,0.86,0.85,0.82,0.86,0.84,0.84,0.87,0.9,0.79,0.82,0.84,0.87,0.86,0.79,0.75,0.59,0.83,0.82,0.82,0.86,0.83,0.62,0.82,0.85,0.81,0.76,0.83,0.87
BDI_16,0.8,0.87,0.91,0.94,0.88,0.88,0.86,0.88,0.91,0.93,0.89,0.93,0.93,0.89,0.88,1.0,0.94,0.89,0.85,0.88,0.93,0.84,0.85,0.86,0.85,0.82,0.81,0.85,0.84,0.87,0.86,0.85,0.84,0.87,0.84,0.84,0.92,0.89,0.85,0.9,0.87,0.88,0.87,0.83,0.76,0.6,0.85,0.84,0.83,0.85,0.83,0.62,0.83,0.84,0.84,0.77,0.86,0.86
BDI_17,0.81,0.86,0.92,0.93,0.88,0.86,0.86,0.87,0.9,0.94,0.9,0.94,0.95,0.88,0.88,0.94,1.0,0.86,0.85,0.87,0.93,0.84,0.85,0.85,0.88,0.81,0.82,0.86,0.86,0.87,0.88,0.84,0.85,0.85,0.85,0.86,0.92,0.89,0.85,0.88,0.86,0.88,0.86,0.81,0.77,0.6,0.84,0.83,0.81,0.83,0.81,0.63,0.8,0.84,0.81,0.76,0.84,0.86
BDI_18,0.71,0.81,0.85,0.87,0.86,0.8,0.8,0.84,0.85,0.86,0.87,0.89,0.87,0.86,0.88,0.89,0.86,1.0,0.83,0.87,0.9,0.84,0.83,0.85,0.82,0.84,0.84,0.84,0.81,0.86,0.85,0.86,0.84,0.84,0.85,0.86,0.86,0.86,0.77,0.82,0.82,0.82,0.83,0.8,0.72,0.52,0.82,0.81,0.81,0.84,0.82,0.55,0.81,0.84,0.83,0.72,0.85,0.88
BDI_19,0.77,0.86,0.89,0.83,0.83,0.86,0.86,0.88,0.88,0.85,0.88,0.86,0.88,0.87,0.88,0.85,0.85,0.83,1.0,0.86,0.86,0.83,0.87,0.82,0.83,0.79,0.79,0.81,0.82,0.84,0.84,0.81,0.79,0.84,0.82,0.81,0.86,0.85,0.83,0.85,0.9,0.86,0.85,0.8,0.77,0.64,0.81,0.8,0.8,0.84,0.81,0.63,0.82,0.85,0.81,0.79,0.83,0.83
BDI_20,0.78,0.86,0.88,0.85,0.85,0.84,0.85,0.89,0.89,0.83,0.9,0.87,0.86,0.91,0.86,0.88,0.87,0.87,0.86,1.0,0.87,0.85,0.85,0.87,0.84,0.81,0.84,0.84,0.84,0.88,0.88,0.84,0.83,0.86,0.87,0.84,0.85,0.88,0.81,0.88,0.86,0.85,0.87,0.89,0.77,0.55,0.85,0.84,0.84,0.92,0.88,0.58,0.88,0.94,0.92,0.74,0.9,0.91
BDI_21,0.79,0.87,0.91,0.92,0.88,0.88,0.88,0.88,0.91,0.92,0.91,0.98,0.93,0.91,0.88,0.93,0.93,0.9,0.86,0.87,1.0,0.86,0.85,0.86,0.85,0.82,0.84,0.84,0.84,0.88,0.87,0.86,0.86,0.85,0.86,0.87,0.92,0.88,0.83,0.89,0.88,0.87,0.87,0.82,0.75,0.56,0.83,0.81,0.81,0.85,0.83,0.58,0.82,0.84,0.84,0.75,0.87,0.87
GDS_01,0.77,0.85,0.87,0.85,0.84,0.81,0.85,0.87,0.86,0.82,0.85,0.86,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.85,0.86,1.0,0.9,0.92,0.9,0.88,0.85,0.89,0.88,0.88,0.91,0.89,0.89,0.91,0.91,0.9,0.86,0.86,0.82,0.83,0.86,0.87,0.84,0.82,0.78,0.61,0.84,0.84,0.82,0.85,0.8,0.62,0.8,0.83,0.81,0.75,0.87,0.88
GDS_02,0.73,0.84,0.86,0.85,0.81,0.81,0.82,0.88,0.87,0.84,0.83,0.86,0.87,0.85,0.85,0.85,0.85,0.83,0.87,0.85,0.85,0.9,1.0,0.88,0.9,0.84,0.83,0.85,0.88,0.87,0.89,0.84,0.86,0.88,0.88,0.85,0.86,0.85,0.78,0.82,0.88,0.85,0.85,0.83,0.78,0.62,0.84,0.83,0.83,0.88,0.82,0.62,0.82,0.86,0.82,0.78,0.83,0.9
GDS_03,0.8,0.86,0.88,0.87,0.86,0.83,0.84,0.87,0.87,0.85,0.85,0.87,0.86,0.88,0.84,0.86,0.85,0.85,0.82,0.87,0.86,0.92,0.88,1.0,0.89,0.86,0.88,0.9,0.91,0.88,0.92,0.92,0.92,0.93,0.97,0.91,0.86,0.86,0.82,0.87,0.86,0.85,0.82,0.84,0.81,0.6,0.84,0.84,0.82,0.84,0.8,0.6,0.82,0.84,0.81,0.76,0.9,0.9
GDS_04,0.76,0.83,0.86,0.84,0.81,0.83,0.84,0.87,0.85,0.85,0.85,0.85,0.86,0.85,0.85,0.85,0.88,0.82,0.83,0.84,0.85,0.9,0.9,0.89,1.0,0.83,0.83,0.87,0.96,0.87,0.91,0.85,0.86,0.91,0.89,0.86,0.84,0.86,0.81,0.82,0.85,0.85,0.83,0.81,0.81,0.68,0.85,0.85,0.82,0.83,0.79,0.7,0.82,0.83,0.8,0.77,0.84,0.86
GDS_05,0.68,0.78,0.82,0.82,0.88,0.74,0.77,0.81,0.81,0.79,0.82,0.83,0.81,0.82,0.83,0.82,0.81,0.84,0.79,0.81,0.82,0.88,0.84,0.86,0.83,1.0,0.86,0.94,0.82,0.85,0.88,0.86,0.86,0.87,0.85,0.88,0.81,0.83,0.74,0.77,0.79,0.8,0.77,0.76,0.71,0.52,0.81,0.81,0.8,0.8,0.79,0.53,0.76,0.79,0.78,0.7,0.82,0.85
GDS_06,0.69,0.79,0.83,0.82,0.83,0.76,0.77,0.82,0.84,0.81,0.82,0.85,0.81,0.85,0.84,0.81,0.82,0.84,0.79,0.84,0.84,0.85,0.83,0.88,0.83,0.86,1.0,0.86,0.82,0.85,0.88,0.89,0.87,0.84,0.89,0.9,0.8,0.84,0.71,0.78,0.78,0.79,0.78,0.76,0.7,0.49,0.78,0.77,0.77,0.81,0.78,0.49,0.75,0.8,0.78,0.67,0.85,0.88
GDS_07,0.76,0.81,0.86,0.86,0.92,0.77,0.8,0.82,0.83,0.84,0.84,0.85,0.85,0.83,0.86,0.85,0.86,0.84,0.81,0.84,0.84,0.89,0.85,0.9,0.87,0.94,0.86,1.0,0.88,0.87,0.91,0.89,0.9,0.91,0.89,0.89,0.84,0.85,0.79,0.8,0.82,0.83,0.79,0.79,0.77,0.58,0.83,0.83,0.81,0.82,0.8,0.59,0.8,0.81,0.79,0.75,0.86,0.87
GDS_08,0.8,0.84,0.87,0.84,0.82,0.85,0.84,0.87,0.86,0.85,0.85,0.84,0.85,0.85,0.82,0.84,0.86,0.81,0.82,0.84,0.84,0.88,0.88,0.91,0.96,0.82,0.82,0.88,1.0,0.86,0.91,0.87,0.88,0.92,0.92,0.86,0.84,0.84,0.83,0.85,0.85,0.84,0.82,0.84,0.85,0.68,0.86,0.84,0.83,0.83,0.8,0.71,0.82,0.83,0.8,0.8,0.86,0.86
GDS_09,0.72,0.84,0.87,0.86,0.85,0.81,0.81,0.85,0.89,0.84,0.87,0.88,0.88,0.86,0.88,0.87,0.87,0.86,0.84,0.88,0.88,0.88,0.87,0.88,0.87,0.85,0.85,0.87,0.86,1.0,0.9,0.88,0.87,0.88,0.87,0.89,0.87,0.86,0.79,0.82,0.83,0.85,0.85,0.82,0.74,0.56,0.84,0.82,0.83,0.88,0.83,0.57,0.82,0.87,0.83,0.73,0.88,0.91
GDS_10,0.75,0.83,0.9,0.85,0.86,0.81,0.82,0.88,0.87,0.85,0.87,0.88,0.87,0.87,0.86,0.86,0.88,0.85,0.84,0.88,0.87,0.91,0.89,0.92,0.91,0.88,0.88,0.91,0.91,0.9,1.0,0.9,0.91,0.9,0.93,0.94,0.85,0.86,0.78,0.84,0.84,0.84,0.82,0.83,0.8,0.57,0.84,0.83,0.82,0.86,0.85,0.59,0.82,0.85,0.84,0.75,0.89,0.91
GDS_11,0.75,0.83,0.86,0.86,0.85,0.8,0.8,0.84,0.86,0.86,0.84,0.87,0.84,0.85,0.85,0.85,0.84,0.86,0.81,0.84,0.86,0.89,0.84,0.92,0.85,0.86,0.89,0.89,0.87,0.88,0.9,1.0,0.9,0.89,0.9,0.9,0.87,0.88,0.8,0.83,0.83,0.85,0.83,0.79,0.74,0.54,0.81,0.8,0.8,0.83,0.79,0.55,0.79,0.82,0.79,0.71,0.86,0.88
GDS_12,0.76,0.83,0.86,0.87,0.87,0.79,0.81,0.84,0.85,0.84,0.84,0.87,0.84,0.85,0.82,0.84,0.85,0.84,0.79,0.83,0.86,0.89,0.86,0.92,0.86,0.86,0.87,0.9,0.88,0.87,0.91,0.9,1.0,0.89,0.92,0.92,0.85,0.85,0.78,0.82,0.81,0.82,0.78,0.81,0.77,0.56,0.82,0.81,0.81,0.82,0.79,0.56,0.78,0.82,0.8,0.72,0.85,0.88
GDS_13,0.79,0.85,0.87,0.85,0.84,0.82,0.83,0.86,0.86,0.86,0.85,0.85,0.87,0.86,0.86,0.87,0.85,0.84,0.84,0.86,0.85,0.91,0.88,0.93,0.91,0.87,0.84,0.91,0.92,0.88,0.9,0.89,0.89,1.0,0.91,0.87,0.85,0.87,0.84,0.86,0.85,0.87,0.83,0.83,0.82,0.64,0.86,0.86,0.84,0.85,0.83,0.67,0.85,0.87,0.82,0.81,0.88,0.87
GDS_14,0.8,0.86,0.89,0.85,0.85,0.84,0.85,0.88,0.86,0.83,0.86,0.86,0.85,0.89,0.84,0.84,0.85,0.85,0.82,0.87,0.86,0.91,0.88,0.97,0.89,0.85,0.89,0.89,0.92,0.87,0.93,0.9,0.92,0.91,1.0,0.91,0.84,0.84,0.82,0.85,0.85,0.84,0.82,0.85,0.83,0.62,0.84,0.83,0.82,0.85,0.8,0.63,0.82,0.83,0.81,0.76,0.91,0.9
GDS_15,0.71,0.81,0.88,0.85,0.84,0.77,0.79,0.83,0.85,0.83,0.84,0.88,0.86,0.85,0.84,0.84,0.86,0.86,0.81,0.84,0.87,0.9,0.85,0.91,0.86,0.88,0.9,0.89,0.86,0.89,0.94,0.9,0.92,0.87,0.91,1.0,0.83,0.85,0.75,0.81,0.8,0.8,0.79,0.78,0.72,0.51,0.8,0.79,0.79,0.81,0.8,0.52,0.78,0.81,0.8,0.7,0.87,0.88
HADS_02,0.81,0.88,0.91,0.94,0.88,0.88,0.87,0.88,0.9,0.91,0.88,0.93,0.91,0.87,0.87,0.92,0.92,0.86,0.86,0.85,0.92,0.86,0.86,0.86,0.84,0.81,0.8,0.84,0.84,0.87,0.85,0.87,0.85,0.85,0.84,0.83,1.0,0.9,0.87,0.88,0.89,0.91,0.88,0.8,0.76,0.58,0.81,0.8,0.8,0.84,0.8,0.59,0.79,0.83,0.81,0.75,0.84,0.86
HADS_04,0.79,0.88,0.9,0.9,0.88,0.86,0.86,0.89,0.89,0.89,0.88,0.9,0.89,0.88,0.9,0.89,0.89,0.86,0.85,0.88,0.88,0.86,0.85,0.86,0.86,0.83,0.84,0.85,0.84,0.86,0.86,0.88,0.85,0.87,0.84,0.85,0.9,1.0,0.85,0.87,0.88,0.92,0.89,0.83,0.75,0.59,0.84,0.83,0.82,0.84,0.83,0.61,0.82,0.86,0.83,0.74,0.85,0.87
HADS_06,0.93,0.9,0.87,0.84,0.83,0.9,0.9,0.85,0.84,0.84,0.86,0.84,0.83,0.86,0.79,0.85,0.85,0.77,0.83,0.81,0.83,0.82,0.78,0.82,0.81,0.74,0.71,0.79,0.83,0.79,0.78,0.8,0.78,0.84,0.82,0.75,0.87,0.85,1.0,0.9,0.89,0.9,0.84,0.82,0.81,0.7,0.8,0.79,0.78,0.78,0.75,0.73,0.78,0.78,0.74,0.8,0.81,0.76
HADS_08,0.88,0.89,0.92,0.88,0.85,0.92,0.9,0.89,0.9,0.88,0.9,0.89,0.87,0.91,0.82,0.9,0.88,0.82,0.85,0.88,0.89,0.83,0.82,0.87,0.82,0.77,0.78,0.8,0.85,0.82,0.84,0.83,0.82,0.86,0.85,0.81,0.88,0.87,0.9,1.0,0.89,0.89,0.84,0.83,0.79,0.61,0.83,0.81,0.81,0.83,0.83,0.64,0.83,0.83,0.82,0.77,0.86,0.83
HADS_10,0.84,0.91,0.88,0.86,0.85,0.89,0.92,0.92,0.9,0.86,0.88,0.89,0.87,0.9,0.84,0.87,0.86,0.82,0.9,0.86,0.88,0.86,0.88,0.86,0.85,0.79,0.78,0.82,0.85,0.83,0.84,0.83,0.81,0.85,0.85,0.8,0.89,0.88,0.89,0.89,1.0,0.89,0.88,0.84,0.8,0.66,0.83,0.83,0.81,0.85,0.81,0.67,0.84,0.84,0.82,0.8,0.85,0.83
HADS_12,0.82,0.91,0.9,0.89,0.86,0.88,0.88,0.89,0.88,0.89,0.87,0.88,0.9,0.87,0.87,0.88,0.88,0.82,0.86,0.85,0.87,0.87,0.85,0.85,0.85,0.8,0.79,0.83,0.84,0.85,0.84,0.85,0.82,0.87,0.84,0.8,0.91,0.92,0.9,0.89,0.89,1.0,0.89,0.83,0.79,0.65,0.83,0.82,0.82,0.85,0.81,0.67,0.81,0.84,0.8,0.77,0.83,0.84
HADS_14,0.76,0.87,0.88,0.85,0.83,0.86,0.84,0.88,0.87,0.85,0.85,0.87,0.87,0.87,0.86,0.87,0.86,0.83,0.85,0.87,0.87,0.84,0.85,0.82,0.83,0.77,0.78,0.79,0.82,0.85,0.82,0.83,0.78,0.83,0.82,0.79,0.88,0.89,0.84,0.84,0.88,0.89,1.0,0.82,0.74,0.6,0.81,0.8,0.81,0.87,0.81,0.63,0.82,0.85,0.81,0.76,0.85,0.86
HAMD_01,0.78,0.84,0.85,0.79,0.79,0.83,0.83,0.86,0.85,0.8,0.84,0.82,0.82,0.86,0.79,0.83,0.81,0.8,0.8,0.89,0.82,0.82,0.83,0.84,0.81,0.76,0.76,0.79,0.84,0.82,0.83,0.79,0.81,0.83,0.85,0.78,0.8,0.83,0.82,0.83,0.84,0.83,0.82,1.0,0.82,0.62,0.85,0.84,0.84,0.89,0.86,0.64,0.86,0.89,0.86,0.75,0.86,0.87
HAMD_02,0.82,0.8,0.8,0.75,0.76,0.82,0.79,0.81,0.78,0.75,0.76,0.75,0.77,0.77,0.75,0.76,0.77,0.72,0.77,0.77,0.75,0.78,0.78,0.81,0.81,0.71,0.7,0.77,0.85,0.74,0.8,0.74,0.77,0.82,0.83,0.72,0.76,0.75,0.81,0.79,0.8,0.79,0.74,0.82,1.0,0.75,0.79,0.79,0.77,0.78,0.75,0.76,0.8,0.78,0.75,0.85,0.78,0.74
HAMD_03,0.66,0.66,0.62,0.58,0.55,0.65,0.64,0.62,0.6,0.61,0.57,0.55,0.62,0.57,0.59,0.6,0.6,0.52,0.64,0.55,0.56,0.61,0.62,0.6,0.68,0.52,0.49,0.58,0.68,0.56,0.57,0.54,0.56,0.64,0.62,0.51,0.58,0.59,0.7,0.61,0.66,0.65,0.6,0.62,0.75,1.0,0.62,0.62,0.59,0.57,0.54,0.89,0.63,0.55,0.52,0.75,0.56,0.53
HAMD_04,0.78,0.83,0.84,0.82,0.81,0.81,0.82,0.85,0.82,0.82,0.85,0.82,0.84,0.86,0.83,0.85,0.84,0.82,0.81,0.85,0.83,0.84,0.84,0.84,0.85,0.81,0.78,0.83,0.86,0.84,0.84,0.81,0.82,0.86,0.84,0.8,0.81,0.84,0.8,0.83,0.83,0.83,0.81,0.85,0.79,0.62,1.0,0.97,0.97,0.85,0.83,0.66,0.87,0.86,0.84,0.79,0.84,0.83
HAMD_05,0.76,0.83,0.83,0.81,0.81,0.79,0.8,0.84,0.82,0.81,0.84,0.81,0.83,0.85,0.82,0.84,0.83,0.81,0.8,0.84,0.81,0.84,0.83,0.84,0.85,0.81,0.77,0.83,0.84,0.82,0.83,0.8,0.81,0.86,0.83,0.79,0.8,0.83,0.79,0.81,0.83,0.82,0.8,0.84,0.79,0.62,0.97,1.0,0.96,0.84,0.82,0.64,0.86,0.85,0.84,0.78,0.83,0.83
HAMD_06,0.74,0.81,0.82,0.8,0.79,0.8,0.79,0.83,0.82,0.8,0.84,0.8,0.82,0.84,0.82,0.83,0.81,0.81,0.8,0.84,0.81,0.82,0.83,0.82,0.82,0.8,0.77,0.81,0.83,0.83,0.82,0.8,0.81,0.84,0.82,0.79,0.8,0.82,0.78,0.81,0.81,0.82,0.81,0.84,0.77,0.59,0.97,0.96,1.0,0.85,0.83,0.63,0.86,0.86,0.84,0.77,0.82,0.83
HAMD_07,0.72,0.82,0.85,0.82,0.81,0.8,0.8,0.87,0.86,0.8,0.84,0.85,0.84,0.87,0.86,0.85,0.83,0.84,0.84,0.92,0.85,0.85,0.88,0.84,0.83,0.8,0.81,0.82,0.83,0.88,0.86,0.83,0.82,0.85,0.85,0.81,0.84,0.84,0.78,0.83,0.85,0.85,0.87,0.89,0.78,0.57,0.85,0.84,0.85,1.0,0.9,0.59,0.87,0.93,0.89,0.78,0.88,0.92
HAMD_08,0.7,0.78,0.83,0.79,0.78,0.78,0.76,0.83,0.84,0.77,0.83,0.82,0.83,0.85,0.83,0.83,0.81,0.82,0.81,0.88,0.83,0.8,0.82,0.8,0.79,0.79,0.78,0.8,0.8,0.83,0.85,0.79,0.79,0.83,0.8,0.8,0.8,0.83,0.75,0.83,0.81,0.81,0.81,0.86,0.75,0.54,0.83,0.82,0.83,0.9,1.0,0.57,0.86,0.92,0.89,0.76,0.83,0.87
HAMD_09,0.69,0.68,0.64,0.59,0.56,0.68,0.66,0.63,0.61,0.63,0.62,0.57,0.64,0.6,0.62,0.62,0.63,0.55,0.63,0.58,0.58,0.62,0.62,0.6,0.7,0.53,0.49,0.59,0.71,0.57,0.59,0.55,0.56,0.67,0.63,0.52,0.59,0.61,0.73,0.64,0.67,0.67,0.63,0.64,0.76,0.89,0.66,0.64,0.63,0.59,0.57,1.0,0.65,0.58,0.55,0.76,0.58,0.54
HAMD_12,0.74,0.81,0.83,0.79,0.78,0.82,0.8,0.84,0.83,0.78,0.83,0.81,0.81,0.84,0.82,0.83,0.8,0.81,0.82,0.88,0.82,0.8,0.82,0.82,0.82,0.76,0.75,0.8,0.82,0.82,0.82,0.79,0.78,0.85,0.82,0.78,0.79,0.82,0.78,0.83,0.84,0.81,0.82,0.86,0.8,0.63,0.87,0.86,0.86,0.87,0.86,0.65,1.0,0.9,0.88,0.82,0.84,0.82
HAMD_13,0.73,0.82,0.86,0.82,0.81,0.81,0.8,0.87,0.87,0.8,0.86,0.84,0.84,0.87,0.85,0.84,0.84,0.84,0.85,0.94,0.84,0.83,0.86,0.84,0.83,0.79,0.8,0.81,0.83,0.87,0.85,0.82,0.82,0.87,0.83,0.81,0.83,0.86,0.78,0.83,0.84,0.84,0.85,0.89,0.78,0.55,0.86,0.85,0.86,0.93,0.92,0.58,0.9,1.0,0.91,0.78,0.86,0.89
HAMD_14,0.71,0.78,0.82,0.81,0.79,0.79,0.78,0.84,0.84,0.77,0.83,0.83,0.81,0.85,0.81,0.84,0.81,0.83,0.81,0.92,0.84,0.81,0.82,0.81,0.8,0.78,0.78,0.79,0.8,0.83,0.84,0.79,0.8,0.82,0.81,0.8,0.81,0.83,0.74,0.82,0.82,0.8,0.81,0.86,0.75,0.52,0.84,0.84,0.84,0.89,0.89,0.55,0.88,0.91,1.0,0.74,0.84,0.87
