,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
HAMA_07,0.19,0.17,0.08,0.16,0.24,0.32,0.21,0.36,0.39,0.02,0.28,0.13,0.29,1.0,0.7,0.32,0.33,0.39,0.27,0.36,0.54,0.43,0.16,0.23,0.27,0.03,0.22,0.33,0.31,0.12,0.32,0.24,0.34,0.42,0.03,0.19,0.03,0.09,0.19,0.16,0.15,0.15,0.28,0.15
HAMA_08,0.16,0.21,0.13,0.12,0.19,0.25,0.2,0.32,0.32,0.11,0.31,0.23,0.28,0.7,1.0,0.26,0.27,0.24,0.21,0.35,0.4,0.53,0.27,0.19,0.24,0.1,0.39,0.19,0.19,0.15,0.31,0.22,0.17,0.25,0.06,0.18,0.15,0.07,0.13,0.35,0.2,0.26,0.22,0.1
HAMA_09,0.26,0.26,0.11,0.11,0.32,0.23,0.36,0.32,0.34,0.08,0.23,0.1,0.35,0.32,0.26,1.0,0.6,0.47,0.43,0.47,0.35,0.47,0.26,0.07,0.2,0.11,0.3,0.57,0.24,0.15,0.22,0.34,0.29,0.24,0.13,0.35,0.16,0.13,0.2,0.39,0.22,0.22,0.35,0.28
HAMA_10,0.29,0.27,0.17,0.23,0.33,0.23,0.39,0.4,0.52,0.06,0.3,0.1,0.29,0.33,0.27,0.6,1.0,0.49,0.33,0.5,0.45,0.39,0.21,0.11,0.33,0.14,0.3,0.42,0.25,0.24,0.25,0.63,0.34,0.3,0.13,0.67,0.2,0.16,0.28,0.26,0.22,0.2,0.39,0.25
HAMA_11,0.16,0.21,0.03,0.13,0.35,0.14,0.26,0.3,0.33,0.02,0.21,0.07,0.23,0.39,0.24,0.47,0.49,1.0,0.42,0.46,0.25,0.26,0.18,0.15,0.21,0.08,0.26,0.21,0.24,0.14,0.12,0.34,0.25,0.28,0.06,0.32,0.09,0.08,0.37,0.23,0.13,0.13,0.25,0.16
HAMA_12,0.16,0.22,-0.0,0.04,0.23,0.12,0.21,0.31,0.26,0.05,0.21,0.14,0.42,0.27,0.21,0.43,0.33,0.42,1.0,0.4,0.28,0.37,0.22,0.13,0.22,0.1,0.16,0.19,0.17,0.15,0.16,0.2,0.21,0.18,0.11,0.21,0.1,0.11,0.21,0.24,0.18,0.22,0.25,0.15
HAMA_13,0.22,0.21,0.08,0.16,0.23,0.19,0.26,0.34,0.35,0.05,0.26,0.02,0.27,0.36,0.35,0.47,0.5,0.46,0.4,1.0,0.38,0.34,0.29,0.09,0.25,0.09,0.29,0.29,0.21,0.11,0.22,0.26,0.28,0.26,0.08,0.31,0.08,0.09,0.18,0.26,0.3,0.43,0.26,0.24
HAMA_14,0.38,0.26,0.17,0.31,0.28,0.41,0.34,0.49,0.49,0.12,0.37,0.23,0.37,0.54,0.4,0.35,0.45,0.25,0.28,0.38,1.0,0.39,0.21,0.26,0.4,0.17,0.37,0.39,0.34,0.26,0.4,0.3,0.46,0.43,0.18,0.28,0.14,0.19,0.12,0.25,0.31,0.25,0.5,0.33
BAI_01,0.41,0.37,0.22,0.27,0.38,0.41,0.38,0.37,0.36,0.12,0.28,0.17,0.38,0.43,0.53,0.47,0.39,0.26,0.37,0.34,0.39,1.0,0.4,0.28,0.42,0.13,0.44,0.42,0.34,0.29,0.42,0.37,0.39,0.4,0.13,0.31,0.21,0.23,0.24,0.42,0.31,0.29,0.35,0.35
BAI_02,0.34,0.25,0.26,0.36,0.36,0.34,0.37,0.31,0.29,0.21,0.2,0.08,0.2,0.16,0.27,0.26,0.21,0.18,0.22,0.29,0.21,0.4,1.0,0.27,0.32,0.23,0.35,0.33,0.31,0.3,0.4,0.41,0.22,0.21,0.15,0.14,0.23,0.33,0.27,0.32,0.45,0.58,0.12,0.27
