,HADS_01,HADS_03,HADS_05,HADS_07,HADS_09,HADS_11,HADS_13,HAMA_01,HAMA_02,HAMA_03,HAMA_04,HAMA_05,HAMA_06,HAMA_07,HAMA_08,HAMA_09,HAMA_10,HAMA_11,HAMA_12,HAMA_13,HAMA_14,BAI_01,BAI_02,BAI_03,BAI_04,BAI_05,BAI_06,BAI_07,BAI_08,BAI_09,BAI_10,BAI_11,BAI_12,BAI_13,BAI_14,BAI_15,BAI_16,BAI_17,BAI_18,BAI_19,BAI_20,BAI_21,NPI_E_screen,MDS-UPDRS_1.4
BAI_14,0.7,0.7,0.63,0.44,0.62,0.59,0.7,0.73,0.7,0.74,0.58,0.56,0.59,0.56,0.61,0.53,0.57,0.54,0.6,0.57,0.6,0.57,0.52,0.45,0.64,0.79,0.57,0.58,0.56,0.76,0.69,0.67,0.64,0.61,1.0,0.62,0.8,0.71,0.52,0.52,0.48,0.45,0.68,0.57
BAI_15,0.64,0.51,0.55,0.36,0.52,0.57,0.58,0.54,0.62,0.57,0.53,0.67,0.53,0.68,0.6,0.59,0.69,0.63,0.55,0.54,0.6,0.55,0.56,0.54,0.66,0.5,0.6,0.67,0.7,0.61,0.66,0.69,0.58,0.67,0.62,1.0,0.6,0.6,0.52,0.56,0.51,0.48,0.54,0.48
BAI_16,0.64,0.71,0.61,0.38,0.62,0.54,0.65,0.7,0.58,0.72,0.54,0.49,0.5,0.48,0.55,0.51,0.53,0.52,0.54,0.52,0.49,0.58,0.49,0.41,0.57,0.84,0.48,0.56,0.55,0.81,0.69,0.69,0.62,0.55,0.8,0.6,1.0,0.75,0.51,0.49,0.42,0.47,0.62,0.48
BAI_17,0.67,0.69,0.61,0.4,0.64,0.51,0.69,0.68,0.59,0.66,0.45,0.46,0.47,0.47,0.52,0.42,0.43,0.39,0.43,0.48,0.49,0.58,0.57,0.5,0.55,0.71,0.5,0.57,0.6,0.87,0.88,0.64,0.71,0.6,0.71,0.6,0.75,1.0,0.47,0.55,0.55,0.45,0.56,0.51
BAI_18,0.54,0.44,0.47,0.38,0.5,0.47,0.49,0.51,0.53,0.45,0.51,0.5,0.51,0.53,0.58,0.46,0.52,0.66,0.63,0.62,0.44,0.57,0.54,0.46,0.57,0.45,0.57,0.39,0.52,0.48,0.49,0.63,0.49,0.52,0.52,0.52,0.51,0.47,1.0,0.54,0.45,0.49,0.44,0.41
BAI_19,0.66,0.51,0.51,0.52,0.59,0.54,0.58,0.52,0.6,0.53,0.53,0.53,0.63,0.59,0.65,0.56,0.48,0.51,0.51,0.61,0.56,0.71,0.57,0.57,0.59,0.42,0.83,0.53,0.7,0.56,0.64,0.52,0.56,0.72,0.52,0.56,0.49,0.55,0.54,1.0,0.49,0.45,0.54,0.41
BAI_20,0.51,0.46,0.46,0.38,0.46,0.42,0.55,0.5,0.52,0.41,0.3,0.44,0.45,0.48,0.58,0.42,0.38,0.41,0.46,0.57,0.47,0.44,0.75,0.44,0.45,0.39,0.49,0.58,0.45,0.52,0.61,0.49,0.53,0.45,0.48,0.51,0.42,0.55,0.45,0.49,1.0,0.48,0.38,0.43
BAI_21,0.56,0.45,0.45,0.36,0.45,0.49,0.46,0.54,0.51,0.43,0.45,0.39,0.41,0.48,0.61,0.41,0.41,0.47,0.44,0.59,0.44,0.57,0.72,0.41,0.48,0.41,0.42,0.5,0.43,0.47,0.48,0.43,0.5,0.48,0.45,0.48,0.47,0.45,0.49,0.45,0.48,1.0,0.4,0.43
NPI_E_screen,0.7,0.64,0.55,0.45,0.61,0.54,0.61,0.73,0.73,0.68,0.62,0.48,0.59,0.62,0.61,0.59,0.65,0.55,0.6,0.65,0.75,0.57,0.41,0.37,0.54,0.61,0.55,0.47,0.48,0.69,0.63,0.53,0.51,0.57,0.68,0.54,0.62,0.56,0.44,0.54,0.38,0.4,1.0,0.75
MDS-UPDRS_1.4,0.64,0.53,0.58,0.41,0.49,0.52,0.55,0.66,0.62,0.55,0.52,0.48,0.56,0.55,0.51,0.45,0.51,0.44,0.5,0.55,0.67,0.52,0.43,0.37,0.49,0.5,0.47,0.46,0.41,0.59,0.59,0.45,0.49,0.49,0.57,0.48,0.48,0.51,0.41,0.41,0.43,0.43,0.75,1.0
