,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_06,SAS_07,SAS_08,SAS_09,SAS_10,SAS_11,SAS_12,SAS_13,SAS_14,AES_01,AES_02,AES_03,AES_04,AES_05,AES_06,AES_07,AES_08,AES_09,AES_10,AES_11,AES_12,AES_13,AES_14,AES_15,AES_16,AES_17,AES_18,AMI_01,AMI_02,AMI_03,AMI_04,AMI_05,AMI_06,AMI_07,AMI_08,AMI_09,AMI_10,AMI_11,AMI_12,AMI_13,AMI_14,AMI_15,AMI_16,AMI_17,AMI_18,LARS_02.2,LARS_03.1,LARS_03.2,LARS_03.3,LARS_03.4,LARS_04.1,LARS_04.2,LARS_04.3,LARS_04.4,LARS_05.1,LARS_05.2,LARS_05.3,LARS_05.4,LARS_06.1,LARS_06.2,LARS_06.3,LARS_06.4,LARS_07.1,LARS_07.2,LARS_07.3,LARS_07.4,LARS_08.1,LARS_08.2,LARS_08.3,LARS_08.4,LARS_09.1,LARS_09.2,LARS_09.3,LARS_09.4,MDS-UPDRS_1.5,NPI_G_screen
LARS_07.2,0.65,0.64,0.65,0.66,0.71,0.65,0.64,0.59,0.64,0.61,0.56,0.71,0.63,0.61,0.6,0.58,0.58,0.64,0.62,0.53,0.53,0.58,0.62,0.62,0.57,0.52,0.58,0.66,0.55,0.61,0.57,0.56,0.57,0.57,0.52,0.59,0.47,0.66,0.42,0.41,0.62,0.43,0.58,0.64,0.5,0.5,0.62,0.59,0.54,0.5,0.56,0.76,0.66,0.69,0.66,0.64,0.68,0.52,0.61,0.77,0.89,0.75,0.7,0.62,0.63,0.6,0.64,0.75,1.0,0.72,0.6,0.58,0.65,0.66,0.69,0.79,0.71,0.65,0.71,0.54,0.67
LARS_07.3,0.54,0.63,0.76,0.62,0.57,0.58,0.62,0.58,0.63,0.57,0.54,0.6,0.67,0.6,0.56,0.53,0.56,0.56,0.52,0.5,0.52,0.57,0.6,0.59,0.69,0.56,0.65,0.59,0.6,0.6,0.53,0.55,0.63,0.5,0.49,0.54,0.38,0.53,0.6,0.41,0.45,0.46,0.57,0.5,0.52,0.47,0.54,0.71,0.42,0.55,0.54,0.68,0.62,0.65,0.64,0.53,0.54,0.5,0.6,0.63,0.65,0.61,0.63,0.65,0.57,0.61,0.72,0.77,0.72,1.0,0.71,0.65,0.71,0.66,0.6,0.67,0.61,0.74,0.64,0.62,0.71
LARS_07.4,0.63,0.71,0.68,0.6,0.66,0.62,0.61,0.63,0.69,0.6,0.56,0.57,0.59,0.59,0.54,0.47,0.47,0.53,0.52,0.39,0.52,0.46,0.54,0.59,0.52,0.56,0.6,0.5,0.51,0.49,0.44,0.47,0.5,0.58,0.55,0.53,0.4,0.48,0.6,0.58,0.41,0.4,0.52,0.45,0.44,0.45,0.49,0.55,0.48,0.45,0.68,0.64,0.62,0.63,0.69,0.59,0.58,0.65,0.65,0.54,0.55,0.58,0.58,0.59,0.57,0.64,0.62,0.59,0.6,0.71,1.0,0.78,0.72,0.67,0.61,0.6,0.53,0.6,0.56,0.64,0.6
LARS_08.1,0.71,0.77,0.71,0.64,0.67,0.65,0.76,0.65,0.57,0.65,0.58,0.61,0.66,0.64,0.6,0.44,0.48,0.61,0.58,0.41,0.54,0.45,0.56,0.49,0.48,0.71,0.7,0.56,0.5,0.45,0.54,0.57,0.48,0.62,0.63,0.65,0.39,0.48,0.53,0.58,0.47,0.44,0.47,0.46,0.43,0.5,0.48,0.55,0.48,0.48,0.59,0.63,0.55,0.55,0.67,0.61,0.63,0.67,0.6,0.58,0.57,0.54,0.59,0.63,0.59,0.67,0.6,0.51,0.58,0.65,0.78,1.0,0.8,0.71,0.61,0.56,0.53,0.63,0.61,0.64,0.55
LARS_08.2,0.71,0.67,0.64,0.69,0.72,0.59,0.69,0.69,0.64,0.62,0.57,0.61,0.64,0.6,0.66,0.57,0.59,0.71,0.67,0.48,0.61,0.61,0.71,0.6,0.57,0.67,0.8,0.67,0.52,0.62,0.55,0.6,0.52,0.58,0.73,0.7,0.39,0.52,0.57,0.64,0.58,0.52,0.58,0.59,0.47,0.5,0.61,0.6,0.63,0.55,0.66,0.73,0.63,0.63,0.74,0.63,0.63,0.67,0.73,0.7,0.66,0.67,0.66,0.71,0.65,0.66,0.61,0.62,0.65,0.71,0.72,0.8,1.0,0.68,0.63,0.65,0.6,0.72,0.64,0.7,0.69
LARS_08.3,0.69,0.66,0.68,0.63,0.59,0.59,0.7,0.57,0.66,0.63,0.57,0.7,0.63,0.63,0.6,0.51,0.56,0.63,0.64,0.46,0.53,0.52,0.59,0.59,0.55,0.59,0.61,0.56,0.52,0.55,0.55,0.57,0.53,0.72,0.6,0.58,0.45,0.58,0.48,0.41,0.55,0.45,0.56,0.53,0.53,0.68,0.57,0.54,0.49,0.48,0.54,0.78,0.68,0.63,0.74,0.64,0.64,0.55,0.57,0.69,0.62,0.66,0.56,0.65,0.62,0.61,0.6,0.58,0.66,0.66,0.67,0.71,0.68,1.0,0.78,0.66,0.63,0.63,0.73,0.57,0.66
LARS_08.4,0.61,0.61,0.66,0.61,0.57,0.59,0.72,0.54,0.61,0.69,0.66,0.59,0.65,0.77,0.59,0.46,0.56,0.59,0.58,0.45,0.56,0.51,0.6,0.56,0.6,0.54,0.56,0.58,0.55,0.5,0.56,0.6,0.51,0.61,0.5,0.5,0.52,0.66,0.49,0.41,0.54,0.42,0.47,0.55,0.53,0.53,0.51,0.51,0.53,0.48,0.54,0.78,0.59,0.62,0.72,0.58,0.6,0.5,0.58,0.68,0.64,0.73,0.55,0.64,0.66,0.61,0.6,0.59,0.69,0.6,0.61,0.61,0.63,0.78,1.0,0.68,0.76,0.64,0.85,0.57,0.64
LARS_09.1,0.65,0.65,0.69,0.73,0.64,0.71,0.67,0.65,0.68,0.62,0.6,0.73,0.63,0.58,0.63,0.63,0.64,0.65,0.63,0.54,0.6,0.7,0.63,0.66,0.58,0.52,0.59,0.69,0.58,0.68,0.6,0.59,0.55,0.47,0.54,0.57,0.52,0.65,0.53,0.38,0.58,0.43,0.61,0.71,0.46,0.45,0.61,0.51,0.56,0.49,0.57,0.74,0.66,0.66,0.65,0.62,0.62,0.52,0.64,0.75,0.73,0.79,0.63,0.66,0.56,0.68,0.63,0.65,0.79,0.67,0.6,0.56,0.65,0.66,0.68,1.0,0.73,0.65,0.7,0.6,0.68
LARS_09.2,0.53,0.49,0.63,0.62,0.61,0.55,0.62,0.48,0.62,0.62,0.58,0.61,0.62,0.66,0.53,0.47,0.58,0.55,0.51,0.46,0.52,0.6,0.54,0.6,0.57,0.49,0.54,0.56,0.52,0.56,0.54,0.55,0.6,0.52,0.47,0.47,0.55,0.87,0.53,0.35,0.56,0.45,0.5,0.62,0.62,0.46,0.54,0.59,0.52,0.64,0.45,0.79,0.65,0.67,0.62,0.51,0.55,0.52,0.59,0.73,0.69,0.8,0.62,0.66,0.57,0.58,0.69,0.64,0.71,0.61,0.53,0.53,0.6,0.63,0.76,0.73,1.0,0.77,0.82,0.56,0.59
LARS_09.3,0.52,0.55,0.68,0.57,0.56,0.46,0.62,0.49,0.58,0.65,0.58,0.53,0.7,0.65,0.55,0.49,0.52,0.6,0.52,0.47,0.55,0.58,0.59,0.57,0.61,0.58,0.62,0.63,0.55,0.54,0.52,0.57,0.72,0.55,0.59,0.5,0.41,0.64,0.6,0.45,0.5,0.49,0.56,0.54,0.67,0.47,0.51,0.73,0.43,0.81,0.48,0.69,0.6,0.62,0.62,0.51,0.52,0.57,0.59,0.61,0.64,0.67,0.63,0.76,0.63,0.64,0.8,0.7,0.65,0.74,0.6,0.63,0.72,0.63,0.64,0.65,0.77,1.0,0.75,0.68,0.63
LARS_09.4,0.62,0.59,0.69,0.62,0.56,0.57,0.71,0.51,0.58,0.69,0.65,0.61,0.65,0.73,0.59,0.46,0.58,0.61,0.59,0.47,0.55,0.6,0.58,0.57,0.61,0.56,0.59,0.6,0.62,0.53,0.57,0.63,0.59,0.58,0.5,0.5,0.53,0.7,0.48,0.38,0.58,0.42,0.5,0.61,0.63,0.54,0.53,0.57,0.47,0.61,0.48,0.76,0.63,0.64,0.68,0.56,0.58,0.57,0.6,0.73,0.69,0.76,0.65,0.67,0.67,0.64,0.68,0.66,0.71,0.64,0.56,0.61,0.64,0.73,0.85,0.7,0.82,0.75,1.0,0.58,0.62
MDS-UPDRS_1.5,0.58,0.65,0.64,0.63,0.61,0.53,0.6,0.63,0.58,0.74,0.71,0.52,0.68,0.61,0.54,0.5,0.46,0.56,0.51,0.51,0.54,0.46,0.58,0.51,0.56,0.52,0.56,0.5,0.43,0.5,0.47,0.49,0.48,0.53,0.59,0.51,0.41,0.46,0.62,0.57,0.44,0.53,0.52,0.43,0.51,0.54,0.5,0.47,0.52,0.52,0.68,0.61,0.49,0.48,0.65,0.5,0.54,0.67,0.6,0.52,0.53,0.56,0.53,0.62,0.5,0.52,0.55,0.54,0.54,0.62,0.64,0.64,0.7,0.57,0.57,0.6,0.56,0.68,0.58,1.0,0.69
NPI_G_screen,0.64,0.6,0.69,0.64,0.61,0.58,0.62,0.63,0.63,0.63,0.65,0.65,0.65,0.61,0.64,0.57,0.66,0.7,0.67,0.58,0.63,0.61,0.71,0.65,0.73,0.55,0.63,0.58,0.61,0.64,0.57,0.59,0.49,0.49,0.52,0.52,0.38,0.53,0.52,0.41,0.47,0.51,0.54,0.51,0.46,0.51,0.53,0.54,0.5,0.48,0.6,0.7,0.6,0.62,0.71,0.6,0.62,0.53,0.61,0.65,0.63,0.66,0.57,0.62,0.53,0.52,0.56,0.61,0.67,0.71,0.6,0.55,0.69,0.66,0.64,0.68,0.59,0.63,0.62,0.69,1.0
