,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_06,SAS_07,SAS_08,SAS_09,SAS_10,SAS_11,SAS_12,SAS_13,SAS_14,AES_01,AES_02,AES_03,AES_04,AES_05,AES_06,AES_07,AES_08,AES_09,AES_10,AES_11,AES_12,AES_13,AES_14,AES_15,AES_16,AES_17,AES_18,AMI_01,AMI_02,AMI_03,AMI_04,AMI_05,AMI_06,AMI_07,AMI_08,AMI_09,AMI_10,AMI_11,AMI_12,AMI_13,AMI_14,AMI_15,AMI_16,AMI_17,AMI_18,LARS_02.2,LARS_03.1,LARS_03.2,LARS_03.3,LARS_03.4,LARS_04.1,LARS_04.2,LARS_04.3,LARS_04.4,LARS_05.1,LARS_05.2,LARS_05.3,LARS_05.4,LARS_06.1,LARS_06.2,LARS_06.3,LARS_06.4,LARS_07.1,LARS_07.2,LARS_07.3,LARS_07.4,LARS_08.1,LARS_08.2,LARS_08.3,LARS_08.4,LARS_09.1,LARS_09.2,LARS_09.3,LARS_09.4,MDS-UPDRS_1.5,NPI_G_screen
AES_11,-0.06,-0.04,0.26,0.14,0.05,-0.01,0.06,0.06,0.22,0.36,0.38,0.06,0.28,0.36,0.26,0.23,0.33,0.19,0.14,0.49,0.3,0.29,0.36,0.29,1.0,0.36,0.3,0.22,0.5,0.22,0.35,0.35,0.3,-0.02,-0.02,0.01,0.05,0.11,0.26,-0.01,0.09,0.12,0.1,0.01,0.31,0.09,0.08,0.4,-0.05,0.16,-0.05,0.14,0.06,0.08,0.06,-0.05,-0.08,-0.1,-0.09,0.16,0.22,0.11,0.12,0.06,0.03,0.16,0.27,0.29,0.23,0.49,0.15,0.01,0.12,0.03,0.09,0.13,0.18,0.14,0.17,0.24,0.34
AES_12,-0.01,0.01,0.04,0.04,0.18,-0.02,0.04,0.08,0.13,0.04,0.08,-0.01,0.11,0.06,0.4,0.33,0.21,0.32,0.24,0.24,0.25,0.15,0.42,0.18,0.36,1.0,0.53,0.18,0.33,0.16,0.41,0.44,0.07,0.27,0.24,0.2,0.08,-0.0,0.14,0.39,0.06,0.16,0.08,0.0,0.02,0.14,0.02,0.33,0.08,0.04,0.05,0.04,0.02,0.1,0.09,-0.01,-0.08,0.02,0.01,-0.03,-0.02,-0.06,0.01,-0.01,0.05,0.12,0.11,0.04,0.04,0.12,0.23,0.52,0.27,0.13,0.09,-0.03,-0.0,0.07,-0.01,0.15,0.04
AES_13,0.08,0.05,0.04,0.03,0.28,0.13,0.14,0.22,0.18,-0.01,0.1,0.14,0.09,0.14,0.22,0.19,0.46,0.31,0.25,0.07,0.2,0.35,0.43,0.23,0.3,0.53,1.0,0.12,0.21,0.37,0.17,0.24,0.14,0.19,0.39,0.5,0.04,0.06,0.17,0.53,0.11,0.23,0.07,0.18,0.11,0.1,0.07,0.39,0.25,0.03,0.11,0.1,0.12,0.17,0.19,0.05,0.04,0.14,0.06,0.12,0.05,0.09,-0.01,0.06,-0.04,0.13,0.15,0.08,0.04,0.23,0.31,0.39,0.5,0.12,0.08,0.05,0.05,0.02,-0.05,0.32,0.18
AES_14,0.12,0.12,0.08,0.17,0.18,0.1,0.21,0.14,0.03,0.27,0.19,0.05,0.34,0.14,0.31,0.16,0.16,0.26,0.24,0.08,0.4,0.22,0.32,0.13,0.22,0.18,0.12,1.0,0.16,0.11,0.22,0.39,0.37,0.17,0.19,0.13,0.16,0.06,0.14,0.03,0.31,0.02,0.17,0.35,0.06,0.13,0.15,0.15,0.18,0.06,0.07,0.12,0.08,-0.02,0.07,0.22,0.04,0.12,0.05,0.08,0.06,0.13,0.05,0.34,0.31,0.6,0.29,0.11,0.2,0.07,0.1,0.01,0.09,0.03,0.1,0.34,0.12,0.1,0.03,0.15,0.19
AES_15,0.08,-0.02,0.2,0.14,0.01,0.06,0.1,0.04,0.24,0.06,0.1,0.1,0.12,0.09,0.35,0.32,0.41,0.23,0.31,0.21,0.39,0.45,0.4,0.36,0.5,0.33,0.21,0.16,1.0,0.29,0.37,0.38,0.17,-0.03,-0.04,0.02,0.31,0.13,0.19,-0.08,0.25,0.03,0.21,0.24,0.19,-0.01,0.08,0.25,0.04,0.14,0.01,0.18,0.02,0.16,0.0,0.02,0.07,-0.08,-0.04,0.22,0.21,0.2,0.06,0.06,0.1,0.13,0.13,0.14,0.21,0.18,0.15,0.03,-0.0,-0.02,0.22,0.16,0.14,0.07,0.21,-0.06,0.24
AES_16,0.06,0.12,0.05,0.25,0.26,0.19,0.29,0.41,0.43,-0.02,0.08,0.3,-0.02,0.1,0.25,0.77,0.59,0.13,0.22,0.2,0.28,0.54,0.46,0.63,0.22,0.16,0.37,0.11,0.29,1.0,0.27,0.34,0.02,-0.02,0.02,0.25,0.12,0.03,0.04,0.03,0.27,0.21,0.44,0.28,0.04,0.03,0.35,0.1,0.21,0.02,0.26,0.26,0.19,0.31,0.3,0.05,0.07,-0.05,0.06,0.29,0.19,0.19,0.13,-0.01,-0.01,0.06,0.01,0.07,0.12,0.15,0.15,-0.0,0.14,-0.0,-0.01,0.22,-0.01,-0.0,-0.07,0.04,0.21
AES_17,0.09,0.09,0.04,0.23,0.05,0.06,0.16,0.14,0.18,0.03,0.09,0.26,0.06,0.1,0.48,0.39,0.5,0.35,0.36,0.41,0.43,0.31,0.37,0.35,0.35,0.41,0.17,0.22,0.37,0.27,1.0,0.6,0.02,0.12,0.03,0.07,0.34,0.13,0.05,-0.05,0.35,0.06,0.24,0.27,0.02,0.19,0.3,0.05,0.14,0.02,-0.04,0.4,0.14,0.19,0.25,0.03,0.07,-0.03,-0.04,0.36,0.2,0.2,0.09,0.1,0.05,0.07,0.02,0.01,0.17,0.02,-0.08,-0.04,0.0,0.13,0.2,0.19,0.09,0.02,0.09,-0.01,0.11
AES_18,0.08,0.09,0.1,0.36,0.21,0.23,0.59,0.34,0.22,0.11,0.1,0.32,0.18,0.2,0.48,0.41,0.45,0.38,0.38,0.38,0.54,0.45,0.49,0.37,0.35,0.44,0.24,0.39,0.38,0.34,0.6,1.0,0.12,0.05,-0.03,0.05,0.22,0.12,0.07,-0.0,0.33,0.11,0.26,0.54,-0.02,0.07,0.16,0.13,0.1,0.09,0.14,0.32,0.07,0.08,0.17,0.06,0.05,-0.04,-0.01,0.34,0.25,0.32,0.19,0.06,0.06,0.22,0.13,0.08,0.21,0.03,-0.02,0.03,0.01,-0.09,0.07,0.24,0.16,0.13,0.08,0.11,0.23
AMI_01,0.12,0.09,0.4,0.11,0.16,0.12,0.2,0.16,0.12,0.36,0.3,0.13,0.52,0.36,0.07,-0.01,0.03,0.04,0.03,0.09,0.16,0.13,0.04,0.11,0.3,0.07,0.14,0.37,0.17,0.02,0.02,0.12,1.0,0.08,0.09,0.1,0.15,0.22,0.26,0.1,0.12,0.08,0.02,0.12,0.42,0.14,0.02,0.54,0.02,0.32,0.0,0.12,0.16,0.08,0.03,0.21,0.05,0.1,0.04,0.16,0.21,0.18,0.16,0.37,0.26,0.52,0.85,0.43,0.31,0.3,0.23,0.12,0.08,0.03,0.01,0.27,0.34,0.28,0.15,0.39,0.27
AMI_02,0.25,0.35,0.04,0.14,0.33,0.15,0.14,0.19,0.13,0.14,0.17,0.18,0.09,0.1,0.21,0.06,0.13,0.31,0.24,-0.01,0.05,-0.09,0.2,0.1,-0.02,0.27,0.19,0.17,-0.03,-0.02,0.12,0.05,0.08,1.0,0.61,0.3,0.1,0.07,0.12,0.43,0.26,0.24,0.26,0.15,0.09,0.68,0.18,0.19,0.33,0.07,0.27,0.2,0.15,0.2,0.39,0.21,0.17,0.21,0.1,0.1,0.13,0.13,0.06,0.07,0.16,0.07,0.03,0.05,0.17,0.06,0.31,0.33,0.39,0.51,0.28,0.19,0.07,0.08,0.1,0.24,-0.03
AMI_03,0.44,0.36,0.04,0.06,0.4,0.15,0.09,0.24,0.05,0.13,0.2,0.17,0.11,0.05,0.2,0.0,0.12,0.45,0.35,-0.12,0.07,-0.05,0.25,-0.01,-0.02,0.24,0.39,0.19,-0.04,0.02,0.03,-0.03,0.09,0.61,1.0,0.43,0.09,0.09,0.11,0.59,0.25,0.29,0.14,0.17,0.11,0.38,0.1,0.22,0.53,0.05,0.26,0.07,0.11,0.13,0.29,0.33,0.35,0.43,0.21,0.06,0.0,0.07,-0.04,0.12,0.17,0.19,0.05,-0.03,0.04,0.04,0.36,0.35,0.56,0.3,0.1,0.13,0.04,0.08,0.01,0.3,-0.04
AMI_04,0.21,0.31,-0.05,0.03,0.34,0.17,0.1,0.29,0.21,0.0,0.07,0.05,0.05,0.05,0.18,0.18,0.23,0.28,0.27,-0.02,0.12,0.07,0.38,0.2,0.01,0.2,0.5,0.13,0.02,0.25,0.07,0.05,0.1,0.3,0.43,1.0,-0.0,0.01,0.06,0.44,0.17,0.23,0.14,0.15,0.11,0.16,-0.0,0.12,0.5,-0.01,0.22,0.07,0.02,0.14,0.26,0.21,0.15,0.17,0.1,0.06,0.09,0.02,-0.05,0.0,-0.04,0.07,0.04,-0.09,0.06,-0.05,0.17,0.22,0.32,0.1,0.07,0.11,-0.03,-0.07,-0.07,0.28,0.11
AMI_05,0.07,0.04,0.16,0.26,0.11,0.2,0.21,0.16,0.21,0.14,0.18,0.19,0.22,0.15,0.12,0.14,0.17,0.06,0.06,0.1,0.37,0.28,0.11,0.23,0.05,0.08,0.04,0.16,0.31,0.12,0.34,0.22,0.15,0.1,0.09,-0.0,1.0,0.42,0.26,0.08,0.49,0.16,0.37,0.48,0.06,0.22,0.34,0.02,0.19,0.14,0.08,0.46,0.17,0.21,0.18,0.05,0.05,0.02,0.05,0.38,0.17,0.37,0.04,0.24,0.16,0.18,0.11,0.08,0.12,0.01,0.06,0.07,0.06,0.11,0.31,0.26,0.38,0.11,0.25,0.03,-0.06
AMI_06,0.17,0.11,0.2,0.19,0.12,0.22,0.19,0.06,0.18,0.15,0.11,0.24,0.28,0.23,0.17,-0.01,0.11,0.21,0.18,0.03,0.15,0.2,0.08,0.09,0.11,-0.0,0.06,0.06,0.13,0.03,0.13,0.12,0.22,0.07,0.09,0.01,0.42,1.0,0.25,0.04,0.13,0.12,-0.02,0.24,0.06,0.02,0.07,0.09,0.19,0.27,0.04,0.39,0.1,0.18,0.14,0.13,0.22,0.12,0.11,0.33,0.27,0.41,0.18,0.2,0.05,0.13,0.22,0.28,0.26,0.18,0.08,0.02,0.12,0.09,0.24,0.33,0.76,0.22,0.32,0.14,0.13
AMI_07,0.02,0.1,0.34,0.24,0.05,0.2,0.15,0.12,0.16,0.24,0.29,0.06,0.22,0.3,0.1,-0.0,0.09,0.1,0.02,0.04,0.16,0.2,0.13,0.1,0.26,0.14,0.17,0.14,0.19,0.04,0.05,0.07,0.26,0.12,0.11,0.06,0.26,0.25,1.0,0.18,0.15,0.05,0.14,0.2,0.23,0.09,0.02,0.27,0.04,0.21,0.17,0.05,0.03,0.07,0.13,0.1,-0.02,0.08,0.1,0.09,0.02,0.11,0.03,0.14,0.02,0.22,0.23,0.24,0.08,0.43,0.42,0.22,0.13,0.09,0.11,0.25,0.19,0.19,0.1,0.28,0.17
